Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Alcidamas, Soph.",καίτοι,0,0.00,1,0.05,0,0.00,0.00,0.00
"Alcidamas, Soph.",ὥστε,0,0.00,4,0.20,0,0.00,0.00,0.00
"Alcidamas, Soph.",ἔπειτα,0,0.00,2,0.10,0,0.00,0.00,0.00
"Alcidamas, Soph.",χωρίς,0,0.00,3,0.15,0,0.00,0.00,0.00
"Alcidamas, Soph.",ἄρα,0,0.00,2,0.10,0,0.00,0.00,0.00
"Alcidamas, Soph.",δή,0,0.00,1,0.05,0,0.00,0.00,0.00
"""Alcidamas"", Od.",γάρ,0,0.00,8,0.63,1,1.54,0.32,0.52
"""Alcidamas"", Od.",μέν,4,1.65,11,0.87,0,0.00,1.30,1.50
"""Alcidamas"", Od.",δέ,8,3.29,47,3.70,2,3.08,3.25,0.88
"""Alcidamas"", Od.",οὖν,0,0.00,1,0.08,0,0.00,0.00,0.00
"""Alcidamas"", Od.",καί,11,4.53,69,5.44,4,6.15,4.87,0.90
"""Alcidamas"", Od.",τε,3,1.23,26,2.05,0,0.00,0.97,0.48
"""Alcidamas"", Od.",ἀλλά,1,0.41,4,0.32,0,0.00,0.32,1.03
"""Alcidamas"", Od.",ἤ,2,0.82,2,0.16,0,0.00,0.65,4.12
"""Alcidamas"", Od.",ἔτι,0,0.00,1,0.08,0,0.00,0.00,0.00
"""Alcidamas"", Od.",τοίνυν,0,0.00,0,0.00,0,0.00,0.00,—
"""Alcidamas"", Od.",καίτοι,1,0.41,0,0.00,0,0.00,0.32,—
"""Alcidamas"", Od.",ὥστε,1,0.41,5,0.39,1,1.54,0.65,1.65
"""Alcidamas"", Od.",ἔπειτα,0,0.00,0,0.00,0,0.00,0.00,—
"""Alcidamas"", Od.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"""Alcidamas"", Od.",ἄρα,1,0.41,1,0.08,0,0.00,0.32,4.12
"""Alcidamas"", Od.",δή,1,0.41,2,0.16,0,0.00,0.32,2.06
